,country,province,latitude,longitude,points,variety,Temperature,Humidity
4,US,Oregon,43.8041334,-120.55420120000001,87,Pinot Noir,44.58,34
14,US,California,36.778261,-119.4179324,87,Chardonnay,61.83,100
58,Chile,Maipo Valley,-33.8088442,-70.76442359999999,85,Pinot Noir,78.19,57
65,France,Burgundy,47.0525047,4.3837215,86,Chardonnay,69.8,52
70,US,Washington,47.751074100000004,-120.7401385,86,Chardonnay,51.13,69
77,Australia,South Australia,-30.0002315,136.20915469999997,86,Chardonnay,67.82,65
103,Chile,Leyda Valley,-33.61315740000001,-71.4501843,87,Chardonnay,73.63,68
189,Chile,Casablanca Valley,-33.3182828,-71.4070899,87,Chardonnay,73.42,51
210,South Africa,Western Cape,-33.2277918,21.856858600000002,90,Chardonnay,78.85,14
225,South Africa,Stellenbosch,-33.9321045,18.860152,90,Chardonnay,61.36,93
227,US,New York,40.7127753,-74.0059728,85,Pinot Noir,59.23,38
306,Romania,Recas,45.801160700000004,21.511913800000002,87,Chardonnay,59.0,41
327,Chile,Limarí Valley,-30.63218569999999,-71.3141562,86,Chardonnay,81.14,33
336,Chile,Colchagua Costa,-34.5325061,-71.4129937,83,Pinot Noir,75.85,49
343,Chile,Rapel Valley,-33.9429359,-71.73617829999998,81,Pinot Noir,68.0,68
369,Italy,Northeastern Italy,45.92950219999999,11.562141699999998,88,Chardonnay,64.99,61
383,Italy,Veneto,45.4414662,12.3152595,88,Chardonnay,63.36,77
391,Chile,Central Valley,-36.0,-72.0,88,Chardonnay,71.6,40
393,Chile,Lontué Valley,-35.0567954,-71.26886019999998,87,Chardonnay,75.87,49
397,Chile,Colchagua Valley,-34.6761419,-71.097317,85,Pinot Noir,75.7,49
449,Italy,Lombardy,45.47906709999999,9.8452433,92,Chardonnay,70.29,56
466,France,Champagne,48.9168895,4.1514324999999985,92,Chardonnay,63.81,63
619,Italy,Piedmont,45.0522366,7.515388499999999,87,Chardonnay,60.42,77
710,New Zealand,Martinborough,-41.2190932,175.46006509999998,91,Pinot Noir,57.29,71
714,New Zealand,Central Otago,-44.9566315,169.3988451,91,Pinot Noir,31.24,70
731,France,France Other,46.227638,2.213749,85,Chardonnay,59.14,82
766,Australia,Tasmania,-41.4545196,145.9706647,87,Pinot Noir,53.67,85
788,Argentina,Mendoza Province,-32.8896247,-68.8526867,90,Chardonnay,78.8,39
807,Australia,Victoria,-37.471307700000004,144.7851531,90,Chardonnay,50.68,76
830,France,Beaujolais,46.1134349,4.7263863,86,Chardonnay,61.7,86
847,France,Alsace,48.3181795,7.4416240999999985,90,Pinot Noir,68.0,49
974,Italy,Sicily & Sardinia,37.5999938,14.0153557,85,Pinot Noir,65.48,100
1048,France,Languedoc-Roussillon,43.591235600000005,3.2583626,85,Chardonnay,58.32,93
1075,France,Loire Valley,47.5532402,1.0105289000000002,94,Pinot Noir,62.6,77
1100,Austria,Niederösterreich,48.10807699999999,15.804955800000002,90,Chardonnay,52.81,59
1241,South Africa,Robertson,-33.8020653,19.887543100000002,88,Chardonnay,73.15,24
1284,New Zealand,Marlborough,-41.57269,173.4216613,84,Pinot Noir,45.34,86
1529,Spain,Catalonia,41.591158899999996,1.5208624,86,Chardonnay,59.45,88
1626,US,America,37.09024,-95.712891,85,Chardonnay,64.47,63
1635,Australia,Australia Other,-25.274398,133.775136,85,Chardonnay,73.53,28
1696,Israel,Galilee,32.8244321,35.5879975,86,Chardonnay,69.37,73
1706,Australia,Western Australia,-27.6728168,121.6283098,86,Chardonnay,66.92,60
1723,US,Pennsylvania,41.2033216,-77.1945247,85,Pinot Noir,59.0,38
1849,US,New Jersey,40.0583238,-74.40566120000001,83,Chardonnay,60.69,41
1911,Austria,Österreichischer Sekt,48.198982,16.3787714,87,Pinot Noir,53.73,47
1981,US,Virginia,37.4315734,-78.65689420000001,88,Chardonnay,61.16,39
2047,Austria,Burgenland,47.15371649999999,16.2688797,92,Chardonnay,54.0,69
2204,Chile,Aconcagua Costa,-32.8035499,-70.9442243,88,Chardonnay,79.36,68
2733,Chile,Chile,-35.675146999999996,-71.542969,86,Chardonnay,79.79,21
2740,Chile,Bío Bío Valley,-37.44644279999999,-72.1416132,86,Pinot Noir,66.2,63
