Count of points,Wine_Year,,,,,,,,,,,,,,,,,,,,,,,
country,1900,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Grand Total
US,1029,22,223,337,328,332,217,58,86,542,1580,2460,2898,3076,4205,5144,4744,7662,8095,7116,3277,1073,,54504
France,1628,15,13,61,71,114,32,62,67,127,440,720,691,944,1494,2116,2009,2146,2087,3524,2651,1081,,22093
Italy,1073,11,44,55,76,75,162,79,251,616,706,1142,1564,1361,1589,1954,2384,2364,1652,1165,915,302,,19540
Spain,533,6,4,16,21,31,46,26,81,187,258,311,373,441,585,615,714,615,623,571,444,144,,6645
Portugal,357,3,5,9,6,8,10,8,25,67,111,99,157,261,373,412,597,628,753,787,680,335,,5691
Chile,28,,9,27,59,55,82,49,8,16,75,159,248,363,383,504,506,519,521,423,316,119,3,4472
Argentina,53,,,,1,4,4,3,10,38,74,200,299,273,323,453,476,471,420,355,218,119,6,3800
Austria,44,,,1,2,8,8,4,7,16,32,124,152,99,141,171,340,419,537,451,540,249,,3345
Australia,70,2,2,21,38,69,60,47,25,80,163,218,178,202,156,162,65,133,247,193,149,49,,2329
Germany,20,,,,1,,4,,3,2,43,107,78,47,131,116,183,327,298,395,368,42,,2165
New Zealand,10,,,1,8,28,43,9,,5,9,52,121,98,131,107,96,73,233,196,128,71,,1419
South Africa,18,3,2,14,21,26,14,11,17,38,66,77,149,120,155,157,125,67,73,96,105,47,,1401
Israel,7,1,,3,1,,,1,3,11,12,29,24,11,59,65,61,80,59,62,10,6,,505
Greece,21,,,,,,3,,6,13,26,37,52,51,26,56,31,26,29,27,54,8,,466
Canada,1,,1,5,3,,,3,1,3,4,7,9,13,10,7,26,57,53,32,13,9,,257
Hungary,3,2,,,3,4,2,2,6,1,3,4,8,6,7,6,24,17,20,6,21,1,,146
Bulgaria,,,,,,,,,,,,7,2,3,13,5,26,22,23,10,25,5,,141
Romania,,,,,,1,1,1,,2,3,1,3,7,9,14,15,8,10,19,17,9,,120
Uruguay,1,,,,,,,,,1,1,2,6,4,5,4,11,8,19,6,32,8,1,109
Turkey,,,,,,,,,,,,1,2,2,3,10,15,16,11,21,9,,,90
Slovenia,2,,,,,,,,,1,,2,4,6,15,5,19,8,15,9,1,,,87
Georgia,5,,,,,,,,,,,,4,4,5,7,,1,13,29,18,,,86
England,15,,,,,,,,,,,,,,3,14,10,1,19,11,1,,,74
Croatia,1,,,,,,,,,,1,5,3,15,22,10,6,7,1,,2,,,73
Mexico,,2,,,1,1,1,,,,1,,5,4,8,13,19,12,3,,,,,70
Moldova,2,,,,,,1,,,1,,5,,,1,2,5,5,11,12,14,,,59
Brazil,11,,,,,,,1,,1,1,2,1,,3,2,4,4,4,11,3,3,1,52
Lebanon,,,,,1,1,1,1,1,2,1,,1,3,3,6,4,2,2,6,,,,35
Morocco,,,,,,,,,,,,,,,,3,5,8,2,6,2,2,,28
Peru,,,,,,,,,,,,,,3,1,4,,3,2,3,,,,16
Ukraine,9,,,,,,,,,,,,,2,,,,,,3,,,,14
Serbia,,,,,,,,,,,,,1,2,3,,1,1,2,2,,,,12
Macedonia,,,,,,,,,,,,1,3,1,,1,3,,1,2,,,,12
Czech Republic,1,,,,,,,,,,,,2,,1,1,3,1,3,,,,,12
Cyprus,1,,,,,1,,,,1,,,2,2,,3,,,,1,,,,11
India,,,,,,,,,,,,,,,,,1,1,3,1,3,,,9
Switzerland,,,,,,,,,,1,,,,,,,1,5,,,,,,7
Luxembourg,3,,,,,,,,,,,,,,,,,,,1,2,,,6
Armenia,,,,,,,,,,,,,,,,,,,,,2,,,2
Bosnia and Herzegovina,,,,,,,,,,,,,1,,,,1,,,,,,,2
China,,,,,,,,,,,,,,,1,,,,,,,,,1
Egypt,,,,,,,,,,,,,,1,,,,,,,,,,1
Slovakia,,,,,,,,,,,,,,1,,,,,,,,,,1
Grand Total,4946,67,303,550,641,758,691,365,597,1772,3610,5772,7041,7426,9864,12149,12530,15717,15844,15552,10020,3682,11,129908
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2006-2015," 111,915 ",,,,,,,,,,,,
,,,,,,,,,,,Top 12 Countries," 109,704 ",98%,,,,,,,,,,,
